Date,Open,High,Low,Close,Volume,Adj Close
2013-03-01,14.73,15.37,14.39,14.72,1668300,13.709384
2013-02-01,14.47,15.70,14.25,14.82,2420200,13.802518
2013-01-02,13.97,14.86,13.75,14.43,1814400,13.324451
2012-12-03,12.90,13.88,12.70,13.59,1707800,12.548807
2012-11-01,12.40,13.01,11.59,12.85,2283200,11.865502
2012-10-01,12.18,12.87,11.99,12.38,1688900,11.306733
2012-09-04,11.23,13.35,11.10,12.04,2422200,10.996209
2012-08-01,10.79,11.71,10.25,11.21,2175800,10.238165
2012-07-02,10.93,11.33,9.99,10.72,2116100,9.680186
2012-06-01,10.41,11.15,9.97,10.89,2846000,9.833697
2012-05-01,13.67,14.07,10.38,10.72,3311500,9.680186
2012-04-02,13.48,13.90,12.23,13.67,3001100,12.212508
2012-03-01,12.58,14.21,11.65,13.55,4111000,12.105303
2012-02-01,11.85,12.99,11.44,12.51,3011200,11.176188
2012-01-03,10.94,12.88,10.89,11.72,3077300,10.362731
2011-12-01,10.68,11.75,9.82,10.62,3097900,9.39012
2011-11-01,12.44,13.01,10.24,10.77,4152600,9.522749
2011-10-03,11.22,14.14,10.25,13.21,4150600,11.554331
2011-09-01,13.83,13.83,10.63,11.33,4109500,9.90996
2011-08-01,16.219999,16.299999,12.32,13.71,5095600,11.991663
2011-07-01,17.690001,18.07,15.69,15.89,2495600,13.759974
2011-06-01,17.790001,17.82,15.86,17.66,2761600,15.292708
2011-05-02,17.940001,18.68,17.15,17.85,3004600,15.457239
2011-04-01,17.91,18.08,16.59,17.969999,1857300,15.447145
2011-03-01,19.030001,19.25,15.82,17.690001,3252400,15.206456
2011-02-01,17.57,19.50,17.52,18.889999,3224700,16.237984
2011-01-03,17.360001,18.120001,17.08,17.440001,2072200,14.888862
2010-12-01,14.20,17.290001,14.20,17.18,2650200,14.666895
2010-11-01,12.79,15.56,12.31,13.91,4253800,11.875233
2010-10-01,12.76,12.87,12.10,12.70,2358700,10.748889
2010-09-01,11.35,13.57,11.30,12.63,3144900,10.689643
2010-08-02,16.15,16.32,10.60,11.14,4668800,9.428554
2010-07-01,14.59,16.129999,13.73,15.91,2514700,13.328776
2010-06-01,16.879999,17.33,14.52,14.58,2484700,12.214554
2010-05-03,18.07,18.700001,15.00,16.690001,3483500,13.98223
2010-04-01,19.85,20.559999,17.98,17.99,1763600,14.967436
2010-03-01,18.51,20.790001,18.379999,19.690001,1665800,16.381813
2010-02-01,18.41,19.040001,17.48,18.299999,1995600,15.225351
2010-01-04,18.76,20.450001,18.290001,18.34,2046200,15.159065
2009-12-01,17.74,18.549999,16.35,18.34,1591500,15.159065
2009-11-02,18.799999,20.15,17.08,17.459999,2346800,14.431693
2009-10-01,21.030001,21.950001,18.17,18.59,2873800,15.267592
2009-09-01,20.34,21.709999,19.030001,20.940001,3461300,17.197599
2009-08-03,24.559999,24.969999,19.07,20.459999,2953800,16.803385
2009-07-01,17.65,24.51,15.87,24.309999,2574600,19.84985
2009-06-01,21.74,22.870001,16.77,17.35,2796700,14.1668
2009-05-01,16.969999,21.49,16.879999,21.360001,3157100,17.441086
2009-04-01,10.89,17.629999,10.87,17.10,3970500,13.791523
2009-03-02,9.80,13.37,6.94,11.20,5473800,9.033044
2009-02-02,16.200001,17.85,9.85,10.15,4763400,8.186195
2009-01-02,16.870001,20.790001,14.71,16.549999,2971200,13.086558
2008-12-01,17.50,17.83,14.91,17.030001,3416600,13.466109
2008-11-03,20.35,23.35,12.70,17.18,3168100,13.584718
2008-10-01,35.450001,37.00,16.459999,20.09,2972800,15.704425
2008-09-02,35.919998,37.549999,31.280001,36.689999,2108000,28.680704
2008-08-01,36.959999,37.07,33.720001,35.790001,1128300,27.977173
2008-07-01,34.389999,38.439999,33.259998,36.830002,1829300,28.590889
2008-06-02,38.389999,38.740002,34.599998,34.709999,1124500,26.945145
2008-05-01,38.619999,39.799999,36.220001,38.669998,1097000,30.019266
2008-04-01,38.00,40.349998,36.799999,39.16,1030800,30.213755
2008-03-03,38.34,38.779999,34.189999,37.98,1697800,29.303331
2008-02-01,37.880001,40.349998,35.799999,38.709999,1505800,29.86656
2008-01-02,40.689999,40.98,33.439999,37.66,1814000,28.87714
2007-12-03,41.490002,41.950001,39.400002,40.75,1012200,31.246508
2007-11-01,46.150002,46.610001,39.110001,41.779999,1359700,32.036293
2007-10-01,41.25,46.560001,41.040001,46.389999,804100,35.35603
2007-09-04,38.939999,41.349998,38.080002,41.259998,627800,31.446211
2007-08-01,36.34,39.080002,33.689999,38.849998,1091100,29.609436
2007-07-02,37.32,38.959999,36.209999,36.540001,837900,27.687063
2007-06-01,37.41,37.759998,35.919998,37.32,612800,28.278084
2007-05-01,36.349998,37.790001,35.110001,37.360001,617000,28.308393
2007-04-02,34.450001,36.639999,34.369999,36.110001,550300,27.207996
2007-03-01,33.060001,34.939999,32.43,34.450001,618500,25.957228
2007-02-01,33.810001,35.450001,33.099998,33.57,722600,25.294168
2007-01-03,33.82,34.139999,32.959999,33.709999,685400,25.274332
2006-12-01,33.130001,34.48,32.869999,33.790001,689900,25.334314
2006-11-01,32.27,34.27,32.080002,33.119999,632100,24.831974
2006-10-02,32.23,32.849998,31.120001,32.43,681100,24.187845
2006-09-01,32.779999,33.27,31.40,32.259998,601300,24.061049
2006-08-01,31.65,33.130001,30.52,32.650002,597000,24.351933
2006-07-03,30.879999,32.889999,29.950001,31.68,694400,23.513126
2006-06-01,65.309998,67.239998,30.049999,31.77,873600,23.579926
2006-05-01,65.57,67.260002,63.849998,66.099998,850300,24.529951
2006-04-03,62.73,66.00,62.610001,65.290001,608600,24.113413
2006-03-01,63.900002,65.410004,62.599998,62.77,588000,23.182707
2006-02-01,60.580002,64.550003,59.889999,63.939999,710300,23.61482
2006-01-03,58.779999,61.830002,58.07,60.950001,810100,22.403755
2005-12-01,57.639999,59.98,57.48,58.799999,770600,21.613466
2005-11-01,52.220001,58.310001,51.799999,57.529999,1064400,21.146645
2005-10-03,53.25,53.549999,49.900002,52.209999,616000,19.103579
2005-09-01,50.75,53.709999,50.450001,53.32,563200,19.509726
2005-08-01,50.299999,52.529999,49.169998,50.939999,683800,18.638887
2005-07-01,47.799999,51.169998,46.91,50.299999,724600,18.296364
2005-06-01,45.950001,49.25,45.369999,47.810001,612500,17.39064
2005-05-02,45.900002,47.299999,44.84,45.950001,614500,16.714075
2005-04-01,47.75,48.189999,45.209999,45.849998,624400,16.568529
2005-03-01,46.50,48.439999,45.610001,47.919998,840100,17.316551
2005-02-01,43.810001,47.48,43.580002,46.400002,1060000,16.767279
2005-01-03,45.950001,46.150002,43.380001,43.849998,751500,15.7582
2004-12-01,45.00,46.439999,44.16,46.200001,702600,16.602711
2004-11-01,46.48,48.689999,44.830002,44.93,882200,16.146317
2004-10-01,43.82,46.93,42.610001,46.57,840000,16.640169
2004-09-01,41.32,44.290001,41.080002,43.790001,740400,15.646833
2004-08-02,39.799999,41.50,39.560001,41.43,879800,14.80357
2004-07-01,40.450001,40.900002,38.43,40.02,804200,14.206945
2004-06-01,38.57,40.740002,38.099998,40.50,1230600,14.377344
2004-05-03,37.360001,39.00,35.43,38.82,2624200,13.780951
2004-04-01,37.02,40.41,36.549999,36.77,5033500,12.976575
2004-03-01,36.02,37.450001,34.450001,37.150002,1368100,13.110682
2004-02-02,35.240002,37.00,34.34,35.810001,1521000,12.637779
2004-01-02,32.509998,35.759998,32.389999,35.369999,1632400,12.428845
2003-12-01,31.790001,32.459999,31.110001,32.299999,1117600,11.350062
2003-11-03,30.389999,31.82,29.67,31.790001,1937300,11.170852
2003-10-01,29.049999,30.58,28.40,30.33,3066800,10.584578
2003-09-02,30.23,32.040001,28.700001,28.90,1722700,10.085535
2003-08-01,29.35,30.799999,28.85,30.24,347000,10.553169
2003-07-01,28.139999,29.639999,27.049999,29.34,420600,10.168588
2003-06-02,27.35,29.49,27.34,28.209999,325600,9.776955
2003-05-01,26.68,28.32,26.15,27.43,423400,9.506624
2003-04-01,23.93,27.10,23.74,26.639999,526200,9.173261
2003-03-03,25.01,25.74,23.780001,23.93,477700,8.240095
2003-02-03,23.190001,25.02,22.76,24.549999,508900,8.453587
2003-01-02,21.799999,24.49,21.799999,23.15,533300,7.909821
2002-12-02,25.379999,25.709999,21.559999,21.709999,577100,7.417806
2002-11-01,21.299999,25.790001,21.10,25.18,843100,8.603425
2002-10-01,21.07,24.190001,17.370001,21.549999,1050200,7.303517
2002-09-03,22.98,23.290001,19.700001,21.01,797300,7.120506
2002-08-01,23.690001,24.690001,22.83,23.110001,641300,7.832218
2002-07-01,28.50,28.65,22.700001,24.139999,860300,8.13365
2002-06-03,29.50,29.799999,26.629999,28.60,372200,9.636388
2002-05-01,28.700001,29.99,28.530001,29.77,405600,10.030603
2002-04-01,27.129999,29.040001,26.450001,28.940001,413600,9.705121
2002-03-01,25.969999,28.75,25.969999,27.450001,373000,9.205444
2002-02-01,25.459999,27.18,25.18,25.940001,400100,8.699061
2002-01-02,25.75,26.68,25.049999,25.469999,347500,8.496859
2001-12-03,27.200001,27.41,25.299999,26.059999,337000,8.693685
2001-11-01,24.68,27.84,24.67,27.60,406200,9.207433
2001-10-01,26.08,27.48,23.27,24.68,590500,8.19543
2001-09-04,29.35,29.82,22.030001,26.209999,680200,8.703492
2001-08-01,30.299999,31.360001,29.110001,29.35,431100,9.746185
2001-07-02,27.91,30.50,27.00,30.18,485300,9.982306
2001-06-01,27.00,27.98,26.190001,27.91,409200,9.231483
2001-05-01,25.280001,27.25,24.629999,26.969999,440700,8.920569
2001-04-02,26.08,26.74,24.40,25.17,623600,8.286839
2001-03-01,27.309999,28.219999,24.25,26.40,540000,8.691798
2001-02-01,27.60,29.139999,24.299999,27.43,511100,9.03091
2001-01-02,31.00,31.375,24.25,27.700001,670500,9.077386
2000-12-01,25.8125,32.1875,25.5625,31.375,618100,10.281695
2000-11-01,25.00,26.00,22.9375,25.875,614800,8.479326
2000-10-02,20.625,26.0625,20.4375,25.75,1025600,8.402927
2000-09-01,21.75,21.9375,19.3125,20.75,284600,6.771291
2000-08-01,17.625,22.00,17.375,21.50,508300,7.016036
2000-07-03,17.6875,18.50,17.0625,17.75,365500,5.762022
2000-06-01,17.5625,19.1875,17.5625,17.8125,505500,5.782311
2000-05-01,15.625,18.00,15.3125,17.625,613800,5.721445
2000-04-03,14.5625,16.25,14.3125,15.625,1001400,5.042145
2000-03-01,12.0625,14.75,11.75,14.6875,780700,4.739616
2000-02-01,12.0625,12.4375,10.25,12.375,874700,3.985271
2000-01-03,12.3125,12.6875,11.75,12.0625,501800,3.884633
1999-12-01,12.8125,12.9375,12.00,12.6875,526900,4.085909
1999-11-01,12.00,14.375,11.875,12.9375,921500,4.16642
1999-10-01,11.875,12.50,10.5625,12.0625,1246800,3.884633
1999-09-24,12.1875,12.3125,11.625,11.875,10138600,3.82425
